epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/dis_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/dis_loss,lr/pg0,lr/pg1,lr/pg2
128,12860.4,1.13628,0.59511,1.03815,1.81978,0.90925,0.76789,0.82659,0.51203,1.32501,0.8079,1.40746,0,0.0001618,0.0001618,0.0001618
129,12965.7,1.10315,0.58758,1.03247,1.79274,0.91417,0.76411,0.82524,0.49051,1.37533,0.81741,1.4278,0,0.0001552,0.0001552,0.0001552
130,13051.5,1.11415,0.59397,1.03584,1.82924,0.90944,0.76255,0.82284,0.50121,1.33982,0.8057,1.40708,0,0.0001486,0.0001486,0.0001486
131,13117.5,1.09282,0.57056,1.02117,1.80013,0.91296,0.76772,0.82765,0.50317,1.32558,0.80356,1.39473,0,0.000142,0.000142,0.000142
132,13295.7,1.11878,0.58028,1.01364,1.76707,0.91012,0.76804,0.82657,0.50626,1.32849,0.81055,1.39685,0,0.0001354,0.0001354,0.0001354
133,13357.6,1.10813,0.58583,1.03357,1.81479,0.91929,0.76768,0.83032,0.50626,1.34493,0.80945,1.41665,0,0.0001288,0.0001288,0.0001288
134,13467.6,1.10671,0.58789,1.03567,1.86978,0.91208,0.76533,0.82498,0.49243,1.36612,0.81503,1.43832,0,0.0001222,0.0001222,0.0001222
135,13537.5,1.10349,0.57476,1.01992,1.78038,0.91612,0.7667,0.82728,0.5004,1.36484,0.81689,1.43007,0,0.0001156,0.0001156,0.0001156
136,13611.7,1.09713,0.57568,1.02107,1.74108,0.91082,0.76507,0.82428,0.48797,1.40982,0.83311,1.46227,0,0.000109,0.000109,0.000109
137,13690.4,1.09447,0.5787,1.02526,1.77384,0.91037,0.76966,0.82749,0.50271,1.34732,0.80969,1.42009,0,0.0001024,0.0001024,0.0001024
138,13801.1,1.10675,0.57059,1.01532,1.75818,0.90869,0.7628,0.82133,0.4815,1.4293,0.83584,1.48194,0,9.58e-05,9.58e-05,9.58e-05
139,13903.7,1.10796,0.57521,1.00982,1.72492,0.91513,0.76685,0.82985,0.50511,1.36732,0.81535,1.44149,0,8.92e-05,8.92e-05,8.92e-05
140,14003.6,1.09863,0.57296,1.01251,1.72758,0.90186,0.7739,0.82728,0.49581,1.36916,0.81594,1.43106,0,8.26e-05,8.26e-05,8.26e-05
141,14079,1.0315,0.53391,1.01628,1.77008,0.90686,0.76739,0.82533,0.50225,1.32866,0.81798,1.40238,0,7.6e-05,7.6e-05,7.6e-05
142,14115.1,1.0295,0.51233,1.00517,1.70744,0.91124,0.76238,0.83244,0.51775,1.293,0.80442,1.37885,0,6.94e-05,6.94e-05,6.94e-05
143,14163.3,1.04103,0.51472,1.00558,1.71721,0.91169,0.77138,0.83562,0.50784,1.3611,0.80691,1.44081,0,6.28e-05,6.28e-05,6.28e-05
144,14210.1,1.01675,0.50428,0.99319,1.704,0.92253,0.76568,0.83479,0.51673,1.30289,0.80844,1.39324,0,5.62e-05,5.62e-05,5.62e-05
145,14271,1.01935,0.52616,1.00478,1.69272,0.91488,0.77131,0.83502,0.5076,1.34766,0.82712,1.42071,0,4.96e-05,4.96e-05,4.96e-05
146,14309.3,1.0148,0.50471,0.98865,1.67139,0.91443,0.7693,0.83117,0.50655,1.33491,0.82096,1.41096,0,4.3e-05,4.3e-05,4.3e-05
147,14345.6,1.01195,0.5016,0.99719,1.6815,0.91088,0.77321,0.83119,0.51051,1.34476,0.81265,1.42858,0,3.64e-05,3.64e-05,3.64e-05
148,14396.6,1.01337,0.50411,0.99848,1.68308,0.911,0.77296,0.83169,0.51634,1.31634,0.80723,1.40683,0,2.98e-05,2.98e-05,2.98e-05
149,14435.5,1.01078,0.50054,0.98661,1.66708,0.91024,0.77246,0.83147,0.51011,1.33229,0.80773,1.4166,0,2.32e-05,2.32e-05,2.32e-05
150,14492.4,1.02693,0.50845,1.01404,1.67044,0.90922,0.77383,0.82976,0.50721,1.33111,0.80506,1.41087,0,1.66e-05,1.66e-05,1.66e-05
